Carrington Number,g10,g11,h11,Bo,thetaN,phiN
1642,187.98,-0.5,-13.84,188.48945859119016,,
1643,190.47,-2.61,-15.59,191.12477887495385,,
1644,173.35,-3.21,-14.65,173.99755486787737,,
1645,162.42,7.53,0.46,162.59510724495985,,
1646,152.62,7.39,-0.67,152.80027945000623,,
1647,171.01,9.42,-10.23,171.57450101923652,,
1648,153.47,4.62,-12.31,154.03220896942304,,
1649,179.53,-4.7,-12.68,180.03858836371717,,
1650,134.24,3.87,-1.42,134.30327955787232,,
1651,135.01,-10.75,2.25,135.45598953165563,,
1652,153.13,1.39,-0.98,153.13944429832569,,
1653,154.69,17.51,-8.98,155.93664290345615,,
1654,149.65,-2.15,-22.23,151.3073623456572,,
1655,164.91,4.86,-14.65,165.63076465439627,,
1656,168.57,-2.66,-21.34,169.93621185609615,,
1657,167.53,-1.52,-15.28,168.23224928651462,,
1658,168.01,-0.55,-11.19,168.38313068713268,,
1659,165.05,-21.73,-10.87,166.828811360628,,
1660,163.96,-19.77,2.01,165.15984560419037,,
1661,158.66,-14.56,10.71,159.68623390887518,,
1662,157.41,-17.97,21.8,159.92519813963028,,
1663,150.36,-7.91,22.53,152.24420711475364,,
1664,127.0,-1.63,21.58,128.83071566982775,,
1665,115.51,-6.13,5.56,115.80609051340953,,
1666,132.81,9.31,10.36,133.5383907346498,,
1667,121.67,8.26,-15.13,122.88504140048943,,
1668,135.58,19.75,-15.7,137.90753750248751,,
1669,131.37,17.4,-8.23,132.77262443741932,,
1670,113.91,25.89,-29.77,120.5488826161404,,
1671,111.71,19.39,-35.49,118.80503482597024,,
1672,100.02,-10.81,-29.37,104.80197230968508,,
1673,78.03,17.95,-22.72,83.2290922694703,,
1674,77.31,10.29,-21.16,80.81129747751858,,
1675,104.92,24.64,-53.43,120.29173246736453,,
1676,71.19,51.09,-50.23,101.00127276425778,,
1677,77.54,8.17,-54.99,95.41017031742476,,
1678,60.92,-26.7,-83.49,106.74603739717928,,
1679,58.27,-56.69,-67.58,105.71757375195479,,
1680,32.43,-81.73,-76.2,116.35264414700681,,
1681,25.52,-94.19,-57.15,113.08911972422456,,
1682,44.42,-81.12,-53.78,106.98541582851375,,
1683,30.4,-70.83,-57.78,96.33056264758345,,
1684,53.0,-63.2,-15.02,83.8381798466546,,
1685,44.26,-96.86,-13.51,107.34676194464367,,
1686,25.63,-55.04,44.06,75.01721202497464,,
1687,-13.95,-25.68,61.28,67.89185002634706,,
1688,-28.84,-18.8,5.89,34.926747629860984,,
1689,-2.76,-23.94,-43.92,50.096981945023394,,
1690,1.21,-3.99,-38.61,38.83447308770907,,
1691,-4.8,-37.84,-12.17,40.037663518242425,,
1692,-14.09,-56.78,-17.64,61.10373229189851,,
1693,-23.32,-57.55,-39.94,73.83108085352671,,
1694,-40.44,-79.58,-30.62,94.37136430083015,,
1695,-84.01,-52.99,11.55,99.99511338060476,,
1696,-81.29,4.33,10.98,82.14239709187943,,
1697,-76.82,4.77,24.39,80.73993683425817,,
1698,-56.67,18.91,-1.64,59.76425854973858,,
1699,-82.14,4.44,0.72,82.2630634002892,,
1700,-99.81,37.45,-21.2,108.69212758981215,,
1701,-101.12,72.45,-37.3,129.86742047180272,,
1702,-124.19,65.06,-35.14,144.5364289720761,,
1703,-139.33,84.78,-21.97,164.56967582151944,,
1704,-102.7,66.82,-20.55,124.23568287734406,,
1705,-85.35,76.16,23.17,116.71254002891034,,
1706,-74.09,15.75,0.55,75.74756167692793,,
1707,-94.4,84.66,32.77,130.96773839385025,,
1708,-105.17,57.99,-8.23,120.37982347553098,,
1709,-115.2,80.25,-7.23,140.58227270890168,,
1710,-112.59,77.71,-50.62,145.868902100482,,
1711,-125.55,43.24,-16.85,133.85224166968592,,
1712,-161.68,13.91,-19.42,163.43514585302637,,
1713,-141.87,29.07,-16.67,145.77397127059413,,
1714,-155.28,18.61,-47.62,163.4805031188735,,
1715,-130.48,27.7,-20.9,135.01529691112782,,
1716,-105.32,10.78,-22.93,108.32495418877406,,
1717,-95.14,-37.1,13.66,103.02730317736169,,
1718,-61.2,-25.99,20.71,69.64067920403993,,
1719,-80.54,-7.4,35.4,88.28709758509451,,
1720,-141.2,-12.46,100.64,173.842173249186,,
1721,-155.39,-42.8,137.62,211.93668040242585,,
1722,-149.44,-17.14,155.27,216.1824833329472,,
1723,-154.53,-9.57,175.21,233.81541843941773,,
1724,-150.39,37.61,145.56,212.64848412344725,,
1725,-136.03,79.79,104.3,189.07431078811314,,
1726,-113.44,48.65,76.44,145.18446783316733,,
1727,-132.82,76.7,53.32,162.37938539112653,,
1728,-152.27,63.23,39.03,169.4329563573746,,
1729,-152.44,32.81,43.66,161.9279015488066,,
1730,-128.19,14.61,26.39,131.69115498012764,,
1731,-134.37,-4.86,59.03,146.8450114917085,,
1732,-125.97,-7.17,28.46,129.3438108298963,,
1733,-89.71,2.94,23.09,92.68050388296342,,
1734,-93.45,15.31,37.78,101.95404356865892,,
1735,-146.29,22.17,63.42,160.97940675751045,,
1736,-176.38,12.29,32.77,179.8188571868924,,
1737,-203.71,36.24,21.19,207.99066757910077,,
1738,-203.05,29.89,47.11,210.5755605477521,,
1739,-188.65,16.22,25.48,191.0527186406935,,
1740,-190.5,12.33,-2.78,190.9188500384391,,
1741,-192.57,-6.5,9.49,192.91323179087536,,
1742,-183.96,10.06,16.09,184.93613302975706,,
1743,-191.98,-24.99,1.03,193.60237963413567,,
1744,-201.81,-25.66,-7.59,203.57632426193376,,
1745,-207.58,-47.76,-21.73,214.10900705014726,,
1746,-196.69,-64.09,-15.58,207.4541409565015,,
1747,-207.13,-59.26,-14.09,215.90070078626425,,
1748,-211.17,-57.86,-51.39,224.90326942932597,,
1749,-206.42,-61.87,-36.7,218.595524428109,,
1750,-211.4,-62.9,-52.11,226.63146758559367,,
1751,-215.38,-52.23,-56.65,228.7482017415656,,
1752,-211.92,-59.31,-44.4,224.49748885009825,,
1753,-208.57,-48.88,-37.14,217.41683214507563,,
1754,-219.99,-45.41,-23.19,225.82170909812902,,
1755,-210.21,-37.57,-19.5,214.4294732540282,,
1756,-226.43,-29.61,-18.91,229.1394446619787,,
1757,-231.47,-24.87,-11.17,233.070046767061,,
1758,-218.35,-17.33,-10.6,219.29298073581836,,
