Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1913:180
Coefficients for 360 degrees 
  Beginning: CT1912:000  1996:08:22_05h:35m:14s. 
  Centered:  CT1913:180  1996:09:04_20h:53m:26s. 
  End time:  CT1913:005  1996:09:18_03h:06m:07s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      26.31       0.00
  1   0     155.72       0.00
  1   1      12.24       6.46
  2   0      52.79       0.00
  2   1      -8.99       8.08
  2   2       5.39     -34.97
  3   0     215.47       0.00
  3   1     -15.19      -1.36
  3   2       5.84       3.83
  3   3     -48.50      27.21
  4   0      35.38       0.00
  4   1      13.09      -5.48
  4   2       3.67      26.87
  4   3      18.25     -35.08
  4   4      44.99      64.77
  5   0     120.48       0.00
  5   1      18.51      10.08
  5   2     -12.37     -29.10
  5   3      28.11     -19.30
  5   4     -44.48     -22.66
  5   5      57.78     -52.06
  6   0      28.26       0.00
  6   1     -10.50     -28.19
  6   2      17.72      10.67
  6   3     -29.13      24.03
  6   4      -1.32     -17.15
  6   5      -8.08      61.35
  6   6     -80.14     -32.12
  7   0      -0.72       0.00
  7   1       8.02      13.31
  7   2      -8.01      11.95
  7   3      -4.43       3.38
  7   4      45.86      11.63
  7   5     -23.09      25.76
  7   6      76.24      -2.38
  7   7      14.05      57.14
  8   0     -18.80       0.00
  8   1      11.98      -0.65
  8   2       9.90      17.84
  8   3      39.23      -7.16
  8   4       1.79      15.89
  8   5      18.21     -44.28
  8   6      18.62      17.42
  8   7     -39.37     -77.38
  8   8      29.25     -61.17
  9   0     -79.14       0.00
  9   1       1.23      22.23
  9   2     -16.63     -34.33
  9   3       6.96      -2.83
  9   4     -15.02     -28.76
  9   5      10.41      24.49
  9   6     -38.13      19.40
  9   7     -10.64     -17.45
  9   8     -64.81      50.85
  9   9     -71.97     -35.11
 10   0     -30.12       0.00
 10   1      -8.16       2.93
 10   2      19.94      22.19
 10   3     -26.41      20.34
 10   4       9.84      12.26
 10   5     -11.57       6.55
 10   6      23.36     -26.25
 10   7      31.04      50.44
 10   8     -18.69       3.22
 10   9      82.94      23.68
 10  10      -2.40      87.48
 11   0    -148.61       0.00
 11   1       9.67       0.22
 11   2     -17.45       1.21
 11   3      -1.33     -21.75
 11   4      16.66       2.41
 11   5     -20.75     -17.13
