Rotation,Year,Month,DayAndTime,Day,DateInt,Date,Julian Date
-10,1853,1,13.9916,13,18530113.0,1853.03559,2397867.49162
-9,1853,2,11.0417,11,18530211.0,1853.1124399999999,2397867.49162
-8,1853,3,9.6642,9,18530309.0,1853.1853800000001,2397922.16421
-7,1853,4,5.962000000000001,5,18530405.0,1853.26017,2397949.46204
-6,1853,5,4.0417,4,18530504.0,1853.3371,2397949.46204
-5,1853,5,31.0417,31,18530531.0,1853.4110699999999,2397949.46204
-4,1853,6,26.6293,26,18530626.0,1853.48392,2398031.12927
-3,1853,7,23.8332,23,18530723.0,1853.55845,2398058.33322
-2,1853,8,21.0417,21,18530821.0,1853.63573,2398058.33322
-1,1853,9,17.0417,17,18530917.0,1853.7097,2398058.33322
0,1853,10,13.6016,13,18531013.0,1853.7824699999999,2398140.10155
1,1853,11,9.9019,9,18531109.0,1853.85727,2398167.4019299997
2,1853,12,7.2165,7,18531207.0,1853.9321,2398194.71646
3,1854,1,3.5447,3,18540103.0,1854.00697,2398222.04465
4,1854,1,30.8853,30,18540130.0,1854.0818800000002,2398249.38528
5,1854,2,27.2231,27,18540227.0,1854.15678,2398276.7230599998
6,1854,3,26.535999999999998,26,18540326.0,1854.23161,2398304.03601
7,1854,4,22.8073,22,18540422.0,1854.30632,2398331.3072900004
8,1854,5,20.0362,20,18540520.0,1854.3809199999998,2398358.5361900004
9,1854,6,16.2383,16,18540616.0,1854.45545,2398385.73834
10,1854,7,13.4374,13,18540713.0,1854.5299699999998,2398412.9374
11,1854,8,9.6545,9,18540809.0,1854.60453,2398440.15454
12,1854,9,5.9006,5,18540905.0,1854.67918,2398467.40059
13,1854,10,3.1744,3,18541003.0,1854.7539,2398494.67443
14,1854,10,30.4685,30,18541030.0,1854.82868,2398521.96852
15,1854,11,26.7774,26,18541126.0,1854.9035,2398549.2773599997
16,1854,12,24.1007,24,18541224.0,1854.97836,2398576.60066
17,1855,1,20.4367,20,18550120.0,1855.05325,2398603.9367
18,1855,2,16.778,16,18550216.0,1855.1281600000002,2398631.2779900003
19,1855,3,16.1033,16,18550316.0,1855.20302,2398658.60332
20,1855,4,12.3921,12,18550412.0,1855.2777899999999,2398685.89212
21,1855,5,9.6366,9,18550509.0,1855.3524300000001,2398713.13663
22,1855,6,5.8467,5,18550605.0,1855.4269800000002,2398740.3467200003
23,1855,7,3.0441,3,18550703.0,1855.5014899999999,2398767.5441400004
24,1855,7,30.2522,30,18550730.0,1855.5760300000002,2398794.7522
25,1855,8,26.4864,26,18550826.0,1855.65065,2398821.98639
26,1855,9,22.75,22,18550922.0,1855.72534,2398849.25002
27,1855,10,20.0371,20,18551020.0,1855.8001,2398876.53706
28,1855,11,16.3404,16,18551116.0,1855.8749100000002,2398903.8404099997
29,1855,12,13.658,13,18551213.0,1855.94975,2398931.15795
30,1856,1,9.9892,9,18560109.0,1856.02456,2398958.48918
31,1856,2,6.3309,6,18560206.0,1856.0992600000002,2398985.83087
32,1856,3,4.6653,4,18560304.0,1856.17395,2399013.16531
33,1856,3,31.9703,31,18560331.0,1856.24855,2399040.47034
34,1856,4,28.232,28,18560428.0,1856.3230399999998,2399067.73196
35,1856,5,25.4533,25,18560525.0,1856.39741,2399094.95332
36,1856,6,21.6527,21,18560621.0,1856.47173,2399122.1526900004
37,1856,7,18.8541,18,18560718.0,1856.54605,2399149.35404
38,1856,8,15.0768,15,18560815.0,1856.6204300000002,2399176.57683
39,1856,9,11.3292,11,18560911.0,1856.6948899999998,2399203.82925
40,1856,10,8.6081,8,18561008.0,1856.7694199999999,2399231.10808
41,1856,11,4.9056,4,18561104.0,1856.844,2399258.40564
42,1856,12,2.2176,2,18561202.0,1856.9186300000001,2399285.71756
43,1856,12,29.5442,29,18561229.0,1856.99329,2399313.0441799997
44,1857,1,25.8825,25,18570125.0,1857.06817,2399340.38247
45,1857,2,22.2223,22,18570222.0,1857.1430699999999,2399367.72229
46,1857,3,21.5412,21,18570321.0,1857.2179199999998,2399395.04122
47,1857,4,17.8204,17,18570417.0,1857.29266,2399422.32043
48,1857,5,15.0561,15,18570515.0,1857.3672800000002,2399449.55605
49,1857,6,11.2613,11,18570611.0,1857.4418100000003,2399476.76131
50,1857,7,8.4592,8,18570708.0,1857.5163300000002,2399503.95922
51,1857,8,4.6721,4,18570804.0,1857.59088,2399531.17209
52,1857,8,31.9129,31,18570831.0,1857.66551,2399558.41292
53,1857,9,28.1824,28,18570928.0,1857.74023,2399585.6824
54,1857,10,25.4735,25,18571025.0,1857.815,2399612.97351
55,1857,11,21.7799,21,18571121.0,1857.8898100000001,2399640.27992
56,1857,12,19.1006,19,18571219.0,1857.96466,2399667.6005700002
57,1858,1,15.4345,15,18580115.0,1858.03955,2399694.9344900004
58,1858,2,11.7762,11,18580211.0,1858.1144600000002,2399722.27618
59,1858,3,11.1059,11,18580311.0,1858.1893300000002,2399749.60586
60,1858,4,7.402,7,18580407.0,1858.2641199999998,2399776.902
61,1858,5,4.654,4,18580504.0,1858.33878,2399804.15398
62,1858,5,31.8688,31,18580531.0,1858.4133399999998,2399804.15398
63,1858,6,28.0667,28,18580628.0,1858.48785,2399858.5667
64,1858,7,25.2716,25,18580725.0,1858.5623899999998,2399885.7716
65,1858,8,21.5008,21,18580821.0,1858.6369899999997,2399913.00079
66,1858,9,17.7597,17,18580917.0,1858.71167,2399940.25965
67,1858,10,15.0432,15,18581015.0,1858.78642,2399967.54323
68,1858,11,11.344000000000001,11,18581111.0,1858.86122,2399994.844
69,1858,12,8.6589,8,18581208.0,1858.93605,2400022.15889
70,1859,1,4.9875,4,18590104.0,1859.01092,2400049.48748
71,1859,2,1.3282,1,18590201.0,1859.08583,2400076.82823
72,1859,2,28.6654,28,18590228.0,1859.16073,2400104.16541
73,1859,3,27.9769,27,18590327.0,1859.23555,2400131.47693
74,1859,4,24.2465,24,18590424.0,1859.3102600000002,2400158.74647
75,1859,5,21.474,21,18590521.0,1859.3848600000001,2400185.974
76,1859,6,17.6757,17,18590617.0,1859.4593899999998,2400185.974
77,1859,7,14.8753,14,18590714.0,1859.5339,2400240.37524
78,1859,8,11.0935,11,18590811.0,1859.60848,2400267.5935
79,1859,9,7.3408,7,18590907.0,1859.6831300000001,2400294.8407900003
80,1859,10,4.6155,4,18591004.0,1859.75785,2400322.11554
81,1859,10,31.9102,31,18591031.0,1859.83263,2400349.4102
82,1859,11,28.2195,28,18591128.0,1859.90745,2400376.71953
83,1859,12,25.5434,25,18591225.0,1859.98231,2400404.0433799997
84,1860,1,21.8799,21,18600121.0,1860.05705,2400431.37985
85,1860,2,18.2209,18,18600218.0,1860.13175,2400458.7209099997
86,1860,3,16.5451,16,18600316.0,1860.2064100000002,2400486.04509
87,1860,4,12.8321,12,18600412.0,1860.28096,2400513.33207
88,1860,5,10.0748,10,18600510.0,1860.3554,2400540.5748400004
89,1860,6,6.2839,6,18600606.0,1860.4297399999998,2400567.78395
90,1860,7,3.4814,3,18600703.0,1860.50405,2400594.98141
91,1860,7,30.6904,30,18600730.0,1860.57839,2400622.19041
92,1860,8,26.926,26,18600826.0,1860.6528,2400649.42595
93,1860,9,23.1908,23,18600923.0,1860.7273,2400676.69082
94,1860,10,20.4788,20,18601020.0,1860.80185,2400703.97875
95,1860,11,16.7827,16,18601116.0,1860.8764600000002,2400731.28273
96,1860,12,14.1009,14,18601214.0,1860.9511,2400758.60088
97,1861,1,10.4326,10,18610110.0,1861.0258399999998,2400785.93262
98,1861,2,6.7743,6,18610206.0,1861.10075,2400813.27427
99,1861,3,6.1077,6,18610306.0,1861.17564,2400840.60772
100,1861,4,2.4109,2,18610402.0,1861.2504399999998,2400867.91093
101,1861,4,29.6705,29,18610429.0,1861.32512,2400895.1705099996
102,1861,5,26.8905,26,18610526.0,1861.3997,2400922.39045
103,1861,6,23.0895,23,18610623.0,1861.4742199999998,2400949.58947
104,1861,7,20.2915,20,18610720.0,1861.54874,2400976.79152
105,1861,8,16.5157,16,18610816.0,1861.6233300000001,2401004.0156799997
106,1861,9,12.7695,12,18610912.0,1861.6979999999999,2401031.2695400002
107,1861,10,10.0495,10,18611010.0,1861.7727399999999,2401058.54948
108,1861,11,6.3478,6,18611106.0,1861.84753,2401085.84777
109,1861,12,3.6603,3,18611203.0,1861.9223600000003,2401113.16029
110,1861,12,30.9875,30,18611230.0,1861.9972300000002,2401140.48747
111,1862,1,27.326,27,18620127.0,1862.07213,2401167.82597
112,1862,2,23.6652,23,18620223.0,1862.14703,2401195.16524
113,1862,3,22.9827,22,18620322.0,1862.2218699999999,2401222.4826599997
114,1862,4,19.2599,19,18620419.0,1862.2966,2401249.7599299997
115,1862,5,16.4939,16,18620516.0,1862.37122,2401276.9939
116,1862,6,12.6984,12,18620612.0,1862.44575,2401304.1984
117,1862,7,9.8966,9,18620709.0,1862.5202600000002,2401331.3966200002
118,1862,8,6.1106,6,18620806.0,1862.59482,2401358.61057
119,1862,9,2.3527,2,18620902.0,1862.66946,2401385.8527
120,1862,9,29.6233,29,18620929.0,1862.74417,2401413.12326
121,1862,10,26.9151,26,18621026.0,1862.81895,2401440.4150799997
122,1862,11,23.221999999999998,23,18621123.0,1862.8937600000002,2401467.72203
123,1862,12,20.5433,20,18621220.0,1862.9686100000001,2401495.0432599997
124,1863,1,16.8777,16,18630116.0,1863.0435,2401522.3777
125,1863,2,13.2194,13,18630213.0,1863.11841,2401549.71935
126,1863,3,12.5481,12,18630312.0,1863.1932800000002,2401577.04807
127,1863,4,8.8425,8,18630408.0,1863.26806,2401604.34251
128,1863,5,6.0927,6,18630506.0,1863.3427199999999,2401631.59267
129,1863,6,2.3063,2,18630602.0,1863.4172800000001,2401658.80626
130,1863,6,29.504,29,18630629.0,1863.4917899999998,2401686.00399
131,1863,7,26.7096,26,18630726.0,1863.56633,2401713.20955
132,1863,8,22.9399,22,18630822.0,1863.64093,2401740.43987
133,1863,9,19.1999,19,18630919.0,1863.71562,2401767.69986
134,1863,10,16.4843,16,18631016.0,1863.79037,2401794.98428
135,1863,11,12.7857,12,18631112.0,1863.86517,2401822.28573
136,1863,12,10.1013,10,18631210.0,1863.94,2401849.60134
137,1864,1,6.4307,6,18640106.0,1864.0148399999998,2401876.93071
138,1864,2,2.7719,2,18640202.0,1864.08954,2401904.27185
139,1864,3,1.1085,1,18640301.0,1864.16423,2401931.6085099997
140,1864,3,28.4185,28,18640328.0,1864.23885,2401958.91853
141,1864,4,24.6861,24,18640424.0,1864.31335,2401986.18608
142,1864,5,21.912,21,18640521.0,1864.38774,2402013.41194
143,1864,6,18.1128,18,18640618.0,1864.46206,2402040.61285
144,1864,7,15.3126,15,18640715.0,1864.53637,2402067.8126
145,1864,8,11.5318,11,18640811.0,1864.6107399999999,2402095.03181
146,1864,9,7.7803,7,18640907.0,1864.68519,2402122.28027
147,1864,10,5.0561,5,18641005.0,1864.75972,2402149.55606
148,1864,11,1.3515,1,18641101.0,1864.8342899999998,2402176.85153
149,1864,11,28.6616,28,18641128.0,1864.90891,2402204.16163
150,1864,12,25.9863,25,18641225.0,1864.9835699999999,2402231.48632
151,1865,1,22.3234,22,18650122.0,1865.0584199999998,2402258.8234
152,1865,2,18.6643,18,18650218.0,1865.1333300000001,2402286.16433
153,1865,3,17.9873,17,18650317.0,1865.20818,2402313.48733
154,1865,4,14.2724,14,18650414.0,1865.2829399999998,2402340.7724200003
155,1865,5,11.5134,11,18650511.0,1865.35757,2402368.0133599997
156,1865,6,7.7214,7,18650607.0,1865.4321100000002,2402395.22138
157,1865,7,4.9188,4,18650704.0,1865.50663,2402422.4188
158,1865,8,1.1286,1,18650801.0,1865.58117,2402449.6286
159,1865,8,28.3654,28,18650828.0,1865.6558,2402476.86535
160,1865,9,24.6313,24,18650924.0,1865.7305,2402504.13132
161,1865,10,21.92,21,18651021.0,1865.80526,2402531.42
162,1865,11,18.2246,18,18651118.0,1865.88007,2402558.72457
163,1865,12,15.5433,15,18651215.0,1865.9549100000002,2402586.04333
164,1866,1,11.8757,11,18660111.0,1866.0298,2402613.37565
165,1866,2,8.2174,8,18660208.0,1866.10471,2402640.7174299997
166,1866,3,7.5501,7,18660307.0,1866.17959,2402668.0501200003
167,1866,4,3.8517,3,18660403.0,1866.2543899999998,2402695.3517400003
168,1866,5,1.1096,1,18660501.0,1866.32907,2402722.60955
169,1866,5,28.3283,28,18660528.0,1866.4036399999998,2402749.82825
170,1866,6,24.526999999999997,24,18660624.0,1866.4781600000001,2402777.0269400002
171,1866,7,21.7296,21,18660721.0,1866.55268,2402804.22959
172,1866,8,17.9549,17,18660817.0,1866.62727,2402831.45485
173,1866,9,14.2098,14,18660914.0,1866.70194,2402858.70978
174,1866,10,11.4905,11,18661011.0,1866.77669,2402885.99047
175,1866,11,7.7892,7,18661107.0,1866.85148,2402913.28925
176,1866,12,5.1023,5,18661205.0,1866.92631,2402940.6022799998
177,1867,1,1.429,1,18670101.0,1867.00118,2402967.9290299998
178,1867,1,28.769000000000002,28,18670128.0,1867.07608,2402995.26904
179,1867,2,25.1081,25,18670225.0,1867.1509800000001,2403022.60807
180,1867,3,24.4244,24,18670324.0,1867.2258199999999,2403049.9243400004
181,1867,4,20.6999,20,18670420.0,1867.30055,2403077.19993
182,1867,5,17.9324,17,18670517.0,1867.37516,2403104.43242
183,1867,6,14.1362,14,18670614.0,1867.44969,2403131.6361700003
184,1867,7,11.3345,11,18670711.0,1867.5242,2403158.83455
185,1867,8,7.5493,7,18670807.0,1867.5987699999998,2403186.04929
186,1867,9,3.7924,3,18670903.0,1867.6734,2403213.29243
187,1867,10,1.0638,1,18671001.0,1867.74812,2403240.56378
188,1867,10,28.3561,28,18671028.0,1867.82289,2403267.85612
189,1867,11,24.6636,24,18671124.0,1867.8977100000002,2403295.16358
190,1867,12,21.9855,21,18671221.0,1867.9725600000002,2403322.4855
191,1868,1,18.3206,18,18680118.0,1868.04732,2403349.82059
192,1868,2,14.6624,14,18680214.0,1868.12203,2403377.16237
193,1868,3,12.9903,12,18680312.0,1868.1966899999998,2403404.49029
194,1868,4,9.2831,9,18680409.0,1868.27127,2403431.78315
195,1868,5,6.5316,6,18680506.0,1868.34571,2403459.03161
