indx,Year,Month,t,tc,p,tn,pn,td,pd
1,1976,6,184.409677419355,175.590322580645,130.735483870968,4.45312764467507,-95.4267766926837,85.4486864375248,-1.0539040007344846
2,1976,7,275.1125,84.8875,258.3375,4.74406387922873,-99.5040351966613,88.2843218041372,3.474614111070962
3,1976,8,161.951162790698,161.951162790698,132.279069767442,3.93488744035847,-55.5859024866245,62.7954490667838,
4,1976,6,184.409677419355,175.590322580645,130.735483870968,4.45312764467507,-95.4267766926837,85.4486864375248,-1.0539040007344846
5,1976,7,275.1125,84.8875,258.3375,4.74406387922873,-99.5040351966613,88.2843218041372,3.474614111070962
6,1976,8,161.951162790698,161.951162790698,132.279069767442,3.93488744035847,-55.5859024866245,62.7954490667838,
7,1976,9,171.045,171.045,122.2525,2.7276314807843,-1.27613779897765,111.621097605698,56.748822002203575
8,1976,10,212.37301587301602,147.626984126984,190.534920634921,4.02718998686273,-33.3004654290235,49.6176097341512,1.865334756913688
9,1976,11,198.08666666666699,161.913333333333,153.306666666667,4.86377008421753,-66.4862301779359,6.94822663023131,10.971153467097722
10,1976,12,154.684444444444,154.684444444444,174.34666666666698,4.307649207983951,-110.33785220316099,86.378545244998,39.27424150254819
11,1977,1,191.65,168.35,102.49107142857099,1.9654658021332498,-6.69736255273281,57.643601449285796,-48.73499494370307
12,1977,2,205.54509803921601,154.45490196078399,153.586274509804,4.493291786229769,160.203463620674,49.8610926257055,-24.313451094009142
13,1977,3,198.641935483871,161.358064516129,214.729032258065,2.7696970858710896,-32.593534935375196,52.697990136142394,
14,1977,4,211.11724137931,148.88275862068997,115.789655172414,7.67680216057426,-50.727987894257204,29.8072809516285,-0.7145360564152892
15,1977,5,194.660377358491,165.339622641509,114.439622641509,7.362133642588789,-86.964557291819,54.807824998318004,-18.230240600415804
16,1977,6,181.798648648649,178.201351351351,139.028378378378,6.38661992182071,-85.4082844634671,131.03307099642402,71.42927159920161
17,1977,7,194.29206349206402,165.707936507936,126.47619047619101,6.07607026046489,-96.26869622437891,122.970365161784,-30.02414742027172
18,1977,8,179.82525252525298,179.82525252525298,190.24949494949502,3.98739448681895,-93.1613981822595,27.651683121332997,-46.63859311194666
19,1977,9,168.798095238095,168.798095238095,205.36380952381,8.05809853522869,-137.480215662478,57.36763615075721,24.181463822072995
20,1977,10,198.75267175572498,161.247328244275,226.183969465649,6.85087141742594,169.76641563428998,153.228131962189,9.878736185730721
21,1977,11,179.537362637363,179.537362637363,150.859340659341,7.024320366717089,141.63930208347202,111.192221747152,5.555927840729013
22,1977,12,184.58091603053398,175.41908396946602,180.060305343512,9.779511821264759,122.576162212723,135.866107476977,34.06654451177821
23,1978,1,197.43482587064702,162.565174129353,157.16069651741302,9.28112578900777,103.365028374275,126.611075157514,19.512136811067197
24,1978,2,194.12789855072498,165.872101449275,160.281884057971,7.0256623437032495,114.95296142658998,120.36583902793001,43.738690191842366
25,1978,3,198.691176470588,161.308823529412,171.83594771241798,5.258622862324731,82.65963961815109,88.5933718780361,
26,1978,4,203.362373737374,156.637626262626,183.077272727273,7.486962957038981,-30.972787540332998,92.28841585932379,10.906891759368897
27,1978,5,189.868666666667,170.131333333333,181.463666666667,10.244229969162001,-41.2287783617235,106.547924851164,-38.732489688940916
28,1978,6,201.80372492836702,158.19627507163298,155.880229226362,8.79584457188577,-26.8975436164774,84.74320072095809,
29,1978,7,188.505653710247,171.494346289753,202.42826855123698,19.179786525992,-50.167028279964796,99.56501623630889,
30,1978,8,201.341007194244,158.658992805756,201.640647482015,19.119790283255803,-76.46394332427042,91.5983821695658,
31,1978,9,191.411917098446,168.588082901554,180.661658031088,18.5653315706687,-86.860466137402,75.2239391674902,
32,1978,10,188.95723981900503,171.042760180995,174.445248868778,18.751874266125604,-57.4859540502445,84.8201969008196,
33,1978,11,193.464885496183,166.535114503817,181.707124681934,24.661647575923,-64.8026794164611,152.771531103183,-1.9029278461697356
34,1978,12,192.982808716707,167.017191283293,178.772639225182,40.024336014805996,-51.2392724440914,28.868329903025497,-33.24473075348498
35,1979,1,196.74277673546,163.25722326454,173.687242026267,37.3761498793261,-74.80918868134,24.3328466749971,-2.574092780108414
36,1979,2,191.527182044888,168.472817955112,177.42044887780602,53.7374573162829,-105.775237476388,95.5814285923935,-24.493151139624143
37,1979,3,186.23294573643398,173.76705426356602,188.79457364341,57.5160981552215,-129.75260334308,95.6456577913682,53.01435140065439
38,1979,4,198.38503184713403,161.614968152866,200.05222929936298,74.336419813157,-138.950817829008,42.4285481790976,-16.29249718608181
39,1979,5,193.254666666667,166.745333333333,183.516888888889,73.9963178644921,-148.16082942512898,96.1651994524236,14.266597964637663
40,1979,6,192.28830548926,167.71169451074,185.980190930788,67.8552788211325,-144.253876074148,159.954562506735,
41,1979,7,193.056085918854,166.943914081146,178.11193317422502,62.46363333495071,-152.14013921123,170.490430103129,12.337308960822686
42,1979,8,196.182272727273,163.81772727272698,181.61204545454498,60.04360393663361,-170.011632577423,172.170697057657,-10.173150334122298
43,1979,9,195.52716297786702,164.472837022133,180.68088531187098,69.1073574572801,75.7454942283153,63.466772432912904,
44,1979,10,192.151162790698,167.84883720930202,184.166860465117,97.29175878413089,116.836126574251,75.9069970890255,
45,1979,11,197.105338809035,162.894661190965,203.985626283367,141.472420746977,151.923684349881,153.90049579355,
46,1979,12,203.42275862069,156.57724137931,208.747816091954,92.62405567214691,-116.14201597622801,99.92204164530389,-54.33670977414115
47,1980,1,178.66111111111098,178.66111111111098,195.25061728395,90.08787984976549,-110.217926769506,76.7234626769134,-15.96631564089585
48,1980,2,184.801444043321,175.198555956679,197.161010830325,99.3058627353566,-162.385351531532,69.1388782722945,
49,1980,3,171.04892966360902,171.04892966360902,205.30550458715598,105.740136658525,-154.445228273699,83.51837695730549,
50,1980,4,178.544,178.544,175.566545454546,112.209499405977,-152.720397478142,123.314577840568,-44.91021618340693
51,1980,5,179.323966942149,179.323966942149,178.815426997245,136.473680067153,57.917728918351095,78.93937874360141,40.014454869044684
52,1980,6,193.553216374269,166.446783625731,175.727485380117,166.49126383340402,89.65780582822241,3.6128599478899104,6.906639447705449
